,city,company,salary,title
1517,Los+Angeles,Nestlé USA,0,Supply Chain Optimization Scientist
1518,Los+Angeles,RAPP,1,"Director, Advanced Analytics Solutions"
1519,Los+Angeles,Amgen,1,"Manager, Data Sciences & Analytics – Biotech"
1520,Los+Angeles,Harnham,1,"VP of Analytics - Los Angeles - R, models, Media Entertainme..."
1521,Los+Angeles,Amazon Corporate LLC,1,"Software Development Engineer, Big Data- Relocation Opportun..."
1522,Los+Angeles,Vaco,1,Sr. Data Engineer
1523,Los+Angeles,Cameron Craig Group,1,Principal Scientist - Analytical R&D
1775,Atlanta,Home Depot,0,Data Analyst Supply Chain
1780,Atlanta,Home Depot,0,STATISTICAL FORECAST ANALYST
1834,Atlanta,Equifax,0,"Data Scientist, Identity & Linking"
1854,Atlanta,Home Depot,0,"Data Scientist , Supply Chain"
1882,Atlanta,Florence Healthcare,1,Senior Front-End (AngularJS) Developer
1885,Atlanta,Crowe Horwath LLP,1,National Tax Office - Manager
1886,Atlanta,Verizon,0,Junior Data Scientist - Data Analytics
1936,Atlanta,Modis,1,Data Scientist Job - Atlanta Based or Telecommute Option
1940,Atlanta,Home Depot,0,DATA SCIENTIST
1941,Atlanta,Equifax,0,Data Scientist
1943,Atlanta,Home Depot,0,DATA SCIENTIST- Space Optimization
1944,Atlanta,Gallup,1,Data Scientist – Predictive Analytics
1945,Atlanta,Newell Rubbermaid,1,Senior eCommerce Data Engineer
1946,Atlanta,Verizon,1,Principal Data Scientist - Supply Chain
1947,Atlanta,Equifax,1,Statistical Consultant / Data Scientist
1948,Atlanta,Amazon Corporate LLC,1,"Software Development Engineer, Big Data- Relocation Opportun..."
2165,Austin,Thermo Fisher Scientific,0,Application Scientist
2258,Austin,"Amazon Web Services, Inc.",1,Software Development Engineer – Emerging AWS Machine Learnin...
2611,Austin,"RetailMeNot, Inc.",1,"Sr. Software Engineer, CRM"
2615,Austin,CCC Information Services,1,Sr. Java Developer - IoT Data Platforms
2619,Austin,Gallup,0,Data Scientist – Predictive Analytics
2636,Austin,MaxPoint,0,Senior Data Scientist - Geospatial Analytics
2637,Austin,Indeed,0,Data Scientist
2638,Austin,"RetailMeNot, Inc.",1,Sr. Data Scientist
2639,Austin,MaxPoint,1,Senior Data Scientist - Machine Learning
2640,Austin,Indeed,1,Data Engineer
2641,Austin,Amazon,1,"Software Development Engineer, Big Data"
2642,Austin,MaxPoint,1,Senior Data Scientist
2643,Austin,MaxPoint,1,Senior Data Scientist - Econometrics
2644,Austin,MaxPoint,1,Senior Data Scientist - Signal Processing
2645,Austin,"RetailMeNot, Inc.",1,"Director of Data Science, Digital Attribution"
2646,Austin,Amazon Corporate LLC,1,"Software Development Engineer, Big Data- Relocation Opportun..."
2647,Austin,"Amazon Web Services, Inc.",1,Software Development Engineer – New AWS Machine Learning- Re...
2648,Austin,Roland & Associates,1,Data Scientist
2649,Austin,Simple[A] LLC,1,"Technical Digital Marketing, CMS, Customer Experience Manage..."
