Pclass,Fare,AgeGroup_1,AgeGroup_2,AgeGroup_3,AgeGroup_4,Sex_0,Survived
3,8.05,0.0,0.0,1.0,0.0,1.0,0
2,26.25,0.0,0.0,1.0,0.0,1.0,1
3,7.7958,0.0,1.0,0.0,0.0,1.0,0
3,8.05,0.0,0.0,0.0,1.0,1.0,0
1,227.525,0.0,0.0,0.0,1.0,1.0,1
3,31.275,0.0,0.0,1.0,0.0,1.0,0
1,26.55,0.0,0.0,0.0,1.0,1.0,1
3,15.5,0.0,0.0,0.0,1.0,1.0,0
3,14.5,0.0,0.0,0.0,1.0,1.0,0
3,39.6875,1.0,0.0,0.0,0.0,1.0,0
3,12.475,1.0,0.0,0.0,0.0,1.0,1
1,83.475,0.0,0.0,1.0,0.0,1.0,1
3,7.8958,0.0,1.0,0.0,0.0,1.0,0
3,20.575,1.0,0.0,0.0,0.0,1.0,1
1,83.1583,0.0,0.0,0.0,1.0,1.0,1
2,27.75,0.0,0.0,1.0,0.0,1.0,0
2,12.65,0.0,0.0,1.0,0.0,1.0,1
1,0.0,0.0,0.0,1.0,0.0,1.0,0
1,28.7125,0.0,0.0,0.0,1.0,1.0,0
3,7.8542,0.0,1.0,0.0,0.0,1.0,0
2,13.0,0.0,0.0,0.0,1.0,1.0,1
2,10.5,0.0,0.0,1.0,0.0,1.0,0
3,8.0292,0.0,1.0,0.0,0.0,1.0,1
1,113.275,0.0,0.0,1.0,0.0,1.0,1
2,26.0,0.0,0.0,1.0,0.0,1.0,0
1,120.0,0.0,0.0,1.0,0.0,1.0,1
2,18.75,1.0,0.0,0.0,0.0,1.0,1
3,31.275,0.0,0.0,1.0,0.0,1.0,0
3,15.7417,1.0,0.0,0.0,0.0,1.0,1
2,10.5,0.0,0.0,0.0,0.0,1.0,0
2,10.5,0.0,0.0,0.0,0.0,1.0,0
2,21.0,0.0,0.0,1.0,0.0,1.0,1
1,53.1,0.0,1.0,0.0,0.0,1.0,0
3,6.4375,0.0,0.0,1.0,0.0,1.0,0
2,24.0,0.0,0.0,1.0,0.0,1.0,0
1,135.6333,0.0,0.0,1.0,0.0,1.0,0
1,93.5,0.0,0.0,0.0,1.0,1.0,1
1,35.5,0.0,0.0,0.0,1.0,1.0,0
2,26.0,1.0,0.0,0.0,0.0,1.0,1
3,7.7333,0.0,1.0,0.0,0.0,1.0,1
3,16.1,0.0,0.0,1.0,0.0,1.0,0
2,26.0,0.0,0.0,1.0,0.0,1.0,1
2,13.0,0.0,0.0,1.0,0.0,1.0,0
3,15.85,0.0,0.0,1.0,0.0,1.0,1
3,39.6875,0.0,1.0,0.0,0.0,1.0,0
3,7.925,0.0,0.0,1.0,0.0,1.0,1
1,30.5,0.0,0.0,1.0,0.0,1.0,1
1,55.9,0.0,0.0,1.0,0.0,1.0,1
3,56.4958,0.0,0.0,1.0,0.0,1.0,1
2,15.0,0.0,0.0,0.0,1.0,1.0,0
3,7.75,0.0,0.0,0.0,1.0,1.0,0
3,15.9,1.0,0.0,0.0,0.0,1.0,1
2,26.0,0.0,0.0,1.0,0.0,1.0,0
1,26.55,0.0,0.0,0.0,1.0,1.0,0
3,7.925,0.0,0.0,1.0,0.0,1.0,1
1,164.8667,0.0,0.0,1.0,0.0,1.0,1
1,110.8833,0.0,1.0,0.0,0.0,1.0,1
3,9.35,0.0,1.0,0.0,0.0,1.0,1
2,26.0,0.0,0.0,0.0,1.0,1.0,0
1,262.375,0.0,0.0,1.0,0.0,1.0,1
2,26.0,0.0,1.0,0.0,0.0,1.0,0
3,15.9,1.0,0.0,0.0,0.0,1.0,1
3,31.275,1.0,0.0,0.0,0.0,1.0,0
1,90.0,0.0,0.0,1.0,0.0,1.0,1
1,211.5,0.0,0.0,1.0,0.0,1.0,0
3,24.15,0.0,0.0,1.0,0.0,1.0,0
2,21.0,0.0,0.0,1.0,0.0,1.0,1
3,7.8958,0.0,0.0,1.0,0.0,1.0,0
2,12.35,0.0,0.0,0.0,1.0,1.0,0
1,79.2,0.0,0.0,0.0,1.0,1.0,0
3,21.075,0.0,0.0,1.0,0.0,1.0,0
1,51.8625,0.0,0.0,0.0,1.0,1.0,0
2,24.0,0.0,0.0,1.0,0.0,1.0,1
3,7.2292,0.0,0.0,1.0,0.0,1.0,0
3,10.5167,0.0,0.0,1.0,0.0,1.0,0
1,76.7292,0.0,0.0,1.0,0.0,1.0,1
2,13.0,0.0,0.0,1.0,0.0,1.0,0
3,18.0,0.0,0.0,1.0,0.0,1.0,0
3,27.9,1.0,0.0,0.0,0.0,1.0,0
1,25.9292,0.0,0.0,0.0,1.0,1.0,1
2,37.0042,0.0,0.0,1.0,0.0,1.0,0
1,53.1,0.0,0.0,1.0,0.0,1.0,1
2,26.0,0.0,0.0,1.0,0.0,1.0,0
1,106.425,0.0,0.0,0.0,1.0,1.0,0
3,16.7,0.0,0.0,1.0,0.0,1.0,1
3,8.6625,0.0,0.0,1.0,0.0,1.0,1
3,7.2292,0.0,1.0,0.0,0.0,1.0,0
2,30.0708,0.0,0.0,1.0,0.0,1.0,0
3,9.5,0.0,0.0,1.0,0.0,1.0,0
1,32.3208,0.0,0.0,0.0,0.0,1.0,0
3,7.75,0.0,0.0,0.0,0.0,1.0,0
1,82.1708,0.0,0.0,1.0,0.0,1.0,0
2,26.0,0.0,0.0,0.0,1.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,1
3,8.1583,0.0,1.0,0.0,0.0,1.0,0
1,89.1042,0.0,0.0,0.0,1.0,1.0,1
3,8.6625,0.0,0.0,1.0,0.0,1.0,0
3,7.8,0.0,0.0,1.0,0.0,1.0,0
3,8.4042,0.0,0.0,0.0,1.0,1.0,0
3,8.85,0.0,0.0,1.0,0.0,1.0,0
1,164.8667,0.0,0.0,0.0,1.0,1.0,1
3,19.2583,1.0,0.0,0.0,0.0,1.0,1
1,38.5,0.0,0.0,0.0,1.0,1.0,0
1,76.2917,0.0,0.0,1.0,0.0,1.0,1
3,8.05,0.0,0.0,1.0,0.0,1.0,0
3,7.925,0.0,0.0,1.0,0.0,1.0,0
2,73.5,0.0,0.0,1.0,0.0,1.0,0
2,10.5,0.0,0.0,1.0,0.0,1.0,0
3,7.125,0.0,0.0,0.0,1.0,1.0,0
3,7.8542,0.0,0.0,0.0,1.0,1.0,0
3,7.8958,0.0,0.0,0.0,1.0,1.0,0
2,26.0,0.0,0.0,1.0,0.0,1.0,1
3,7.25,0.0,0.0,0.0,1.0,1.0,0
2,11.5,0.0,0.0,1.0,0.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,1
3,8.3625,0.0,0.0,1.0,0.0,1.0,0
1,263.0,0.0,0.0,1.0,0.0,1.0,1
1,40.125,0.0,0.0,1.0,0.0,1.0,0
3,7.05,0.0,0.0,1.0,0.0,1.0,0
1,78.2667,0.0,0.0,0.0,1.0,1.0,1
3,8.05,0.0,1.0,0.0,0.0,1.0,1
3,46.9,1.0,0.0,0.0,0.0,1.0,0
2,12.275,0.0,0.0,1.0,0.0,1.0,0
3,27.9,1.0,0.0,0.0,0.0,1.0,0
3,7.8958,0.0,0.0,1.0,0.0,1.0,1
3,46.9,1.0,0.0,0.0,0.0,1.0,0
1,0.0,0.0,0.0,1.0,0.0,1.0,0
3,8.4333,0.0,0.0,1.0,0.0,1.0,0
2,13.0,0.0,1.0,0.0,0.0,1.0,0
2,13.5,0.0,0.0,0.0,1.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,0
3,7.8542,0.0,0.0,1.0,0.0,1.0,0
3,7.8958,0.0,0.0,1.0,0.0,1.0,0
2,10.5,0.0,0.0,1.0,0.0,1.0,1
3,7.05,0.0,0.0,1.0,0.0,1.0,0
2,26.0,1.0,0.0,0.0,0.0,1.0,1
3,7.925,0.0,0.0,1.0,0.0,1.0,0
3,14.4542,0.0,1.0,0.0,0.0,1.0,0
3,7.925,0.0,0.0,1.0,0.0,1.0,0
1,34.6542,0.0,0.0,0.0,0.0,1.0,0
2,11.5,0.0,1.0,0.0,0.0,1.0,0
1,26.2875,0.0,0.0,1.0,0.0,1.0,1
3,14.1083,0.0,0.0,0.0,1.0,1.0,0
2,26.0,0.0,0.0,1.0,0.0,1.0,0
2,10.5,0.0,0.0,1.0,0.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,1
2,26.0,0.0,0.0,1.0,0.0,1.0,1
1,31.0,0.0,0.0,1.0,0.0,1.0,1
1,86.5,0.0,0.0,1.0,0.0,1.0,1
1,30.5,0.0,0.0,1.0,0.0,1.0,1
3,7.8958,0.0,1.0,0.0,0.0,1.0,0
1,77.9583,0.0,0.0,0.0,1.0,1.0,1
1,26.55,0.0,0.0,0.0,0.0,1.0,0
2,30.0708,0.0,1.0,0.0,0.0,1.0,1
3,8.6625,0.0,0.0,1.0,0.0,1.0,0
3,39.6875,1.0,0.0,0.0,0.0,1.0,0
1,51.4792,0.0,0.0,0.0,1.0,1.0,1
3,7.925,0.0,0.0,1.0,0.0,1.0,0
2,26.0,0.0,0.0,1.0,0.0,1.0,1
3,7.775,0.0,1.0,0.0,0.0,1.0,0
3,46.9,0.0,0.0,0.0,1.0,1.0,0
3,9.225,0.0,0.0,1.0,0.0,1.0,0
1,26.55,0.0,0.0,0.0,1.0,1.0,1
2,29.0,1.0,0.0,0.0,0.0,1.0,1
1,79.2,0.0,0.0,1.0,0.0,1.0,0
3,7.55,0.0,0.0,1.0,0.0,1.0,1
1,133.65,0.0,0.0,0.0,1.0,1.0,1
3,7.2292,0.0,0.0,1.0,0.0,1.0,0
3,6.2375,0.0,0.0,0.0,0.0,1.0,0
3,7.8542,0.0,0.0,1.0,0.0,1.0,0
3,8.05,0.0,1.0,0.0,0.0,1.0,0
3,15.55,0.0,0.0,1.0,0.0,1.0,0
1,93.5,0.0,0.0,1.0,0.0,1.0,1
3,7.8958,0.0,0.0,1.0,0.0,1.0,0
1,26.0,0.0,0.0,0.0,0.0,1.0,0
3,7.55,0.0,0.0,0.0,1.0,1.0,0
3,7.775,0.0,0.0,1.0,0.0,1.0,1
3,31.275,1.0,0.0,0.0,0.0,1.0,0
1,28.5,0.0,0.0,0.0,1.0,1.0,0
3,7.2292,0.0,1.0,0.0,0.0,1.0,1
1,26.55,0.0,0.0,1.0,0.0,1.0,1
1,25.9292,0.0,0.0,0.0,1.0,1.0,1
1,76.7292,0.0,0.0,0.0,1.0,1.0,1
3,8.05,0.0,0.0,1.0,0.0,1.0,0
3,8.6625,0.0,0.0,1.0,0.0,1.0,0
1,57.9792,0.0,0.0,0.0,1.0,1.0,1
2,10.5,0.0,0.0,1.0,0.0,1.0,0
1,52.0,0.0,0.0,1.0,0.0,1.0,1
3,7.775,0.0,0.0,1.0,0.0,1.0,0
1,263.0,0.0,0.0,0.0,0.0,1.0,0
3,22.025,1.0,0.0,0.0,0.0,1.0,1
2,39.0,1.0,0.0,0.0,0.0,1.0,1
3,7.225,0.0,0.0,0.0,1.0,1.0,0
3,7.8958,0.0,0.0,1.0,0.0,1.0,0
3,9.8417,0.0,1.0,0.0,0.0,1.0,1
1,120.0,0.0,1.0,0.0,0.0,1.0,1
1,79.65,0.0,1.0,0.0,0.0,1.0,1
3,15.85,0.0,0.0,1.0,0.0,1.0,0
3,7.775,0.0,0.0,1.0,0.0,1.0,0
3,8.05,0.0,0.0,0.0,1.0,1.0,0
1,86.5,0.0,0.0,1.0,0.0,1.0,1
2,13.0,0.0,0.0,1.0,0.0,1.0,0
3,7.775,0.0,0.0,0.0,0.0,1.0,0
1,90.0,0.0,0.0,0.0,1.0,1.0,0
2,13.0,0.0,0.0,0.0,1.0,1.0,1
1,75.25,0.0,0.0,0.0,0.0,1.0,1
3,9.5875,0.0,0.0,1.0,0.0,1.0,0
1,66.6,0.0,0.0,1.0,0.0,1.0,1
3,7.25,0.0,0.0,1.0,0.0,1.0,0
3,10.4625,0.0,0.0,1.0,0.0,1.0,0
2,26.0,0.0,0.0,1.0,0.0,1.0,0
1,56.9292,0.0,0.0,1.0,0.0,1.0,1
3,7.8958,0.0,0.0,1.0,0.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,0
2,15.75,0.0,0.0,0.0,1.0,1.0,1
1,108.9,0.0,1.0,0.0,0.0,1.0,0
3,7.8958,0.0,0.0,1.0,0.0,1.0,0
3,7.65,0.0,0.0,0.0,1.0,1.0,0
2,19.5,0.0,0.0,0.0,1.0,1.0,1
3,24.15,0.0,0.0,1.0,0.0,1.0,0
2,41.5792,0.0,0.0,1.0,0.0,1.0,0
3,8.05,0.0,0.0,1.0,0.0,1.0,0
3,7.225,0.0,0.0,1.0,0.0,1.0,0
1,91.0792,0.0,0.0,1.0,0.0,1.0,1
2,13.0,0.0,0.0,1.0,0.0,1.0,0
3,19.2583,1.0,0.0,0.0,0.0,1.0,1
1,153.4625,0.0,0.0,1.0,0.0,1.0,0
1,26.55,0.0,0.0,0.0,0.0,1.0,0
1,77.9583,0.0,0.0,1.0,0.0,1.0,1
3,7.75,0.0,0.0,1.0,0.0,1.0,1
2,13.0,0.0,0.0,0.0,1.0,1.0,1
1,211.3375,0.0,0.0,0.0,1.0,1.0,1
1,26.55,0.0,0.0,0.0,1.0,1.0,0
3,7.75,0.0,0.0,1.0,0.0,1.0,1
3,34.375,0.0,0.0,0.0,1.0,1.0,0
3,7.7958,0.0,0.0,1.0,0.0,1.0,0
1,34.0208,0.0,0.0,0.0,1.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,0
2,19.5,0.0,1.0,0.0,0.0,1.0,1
3,7.8958,0.0,0.0,1.0,0.0,1.0,0
3,9.225,0.0,0.0,1.0,0.0,1.0,0
2,27.75,0.0,0.0,1.0,0.0,1.0,1
3,8.05,0.0,0.0,0.0,1.0,1.0,0
3,20.25,0.0,0.0,1.0,0.0,1.0,1
2,33.0,0.0,0.0,1.0,0.0,1.0,0
3,18.7875,0.0,1.0,0.0,0.0,1.0,0
3,0.0,0.0,0.0,0.0,1.0,1.0,0
1,55.9,0.0,0.0,0.0,1.0,1.0,0
3,39.6875,0.0,0.0,0.0,1.0,1.0,0
3,7.8958,0.0,1.0,0.0,0.0,1.0,0
3,12.475,0.0,0.0,1.0,0.0,1.0,1
3,7.775,0.0,0.0,1.0,0.0,1.0,0
3,7.2292,0.0,0.0,1.0,0.0,1.0,1
2,65.0,0.0,0.0,0.0,1.0,1.0,1
1,26.2875,0.0,0.0,1.0,0.0,1.0,1
1,52.0,0.0,0.0,0.0,1.0,1.0,0
3,0.0,0.0,1.0,0.0,0.0,1.0,0
3,9.5,0.0,0.0,1.0,0.0,1.0,0
3,7.4958,0.0,0.0,1.0,0.0,1.0,0
3,17.8,0.0,1.0,0.0,0.0,1.0,0
3,46.9,0.0,1.0,0.0,0.0,1.0,0
3,7.25,0.0,0.0,1.0,0.0,1.0,0
3,7.775,0.0,1.0,0.0,0.0,1.0,0
2,14.5,1.0,0.0,0.0,0.0,1.0,1
2,10.5,0.0,1.0,0.0,0.0,1.0,0
2,73.5,0.0,0.0,1.0,0.0,1.0,0
1,151.55,0.0,0.0,1.0,0.0,1.0,1
1,151.55,1.0,0.0,0.0,0.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,0
1,110.8833,0.0,0.0,1.0,0.0,1.0,1
1,110.8833,0.0,0.0,0.0,1.0,1.0,0
3,7.25,0.0,0.0,1.0,0.0,1.0,0
3,15.2458,0.0,0.0,1.0,0.0,1.0,1
1,30.5,0.0,0.0,0.0,1.0,1.0,0
3,7.7958,0.0,0.0,1.0,0.0,1.0,0
3,7.7958,0.0,0.0,1.0,0.0,1.0,0
1,135.6333,0.0,0.0,1.0,0.0,1.0,1
3,8.05,0.0,0.0,1.0,0.0,1.0,0
3,24.15,0.0,0.0,1.0,0.0,1.0,0
1,211.3375,0.0,1.0,0.0,0.0,1.0,1
1,77.2875,0.0,0.0,0.0,1.0,1.0,0
3,7.0542,0.0,1.0,0.0,0.0,1.0,0
3,7.75,0.0,0.0,1.0,0.0,1.0,1
2,13.0,0.0,0.0,1.0,0.0,1.0,1
1,83.475,0.0,0.0,0.0,1.0,1.0,0
2,21.0,0.0,0.0,1.0,0.0,1.0,0
1,52.5542,0.0,0.0,1.0,0.0,1.0,1
3,27.9,0.0,0.0,0.0,1.0,1.0,0
1,52.0,0.0,0.0,0.0,1.0,1.0,0
3,29.125,1.0,0.0,0.0,0.0,1.0,0
3,9.5,0.0,0.0,1.0,0.0,1.0,1
3,14.4542,0.0,0.0,1.0,0.0,1.0,0
3,9.8375,0.0,0.0,1.0,0.0,1.0,0
3,27.9,0.0,0.0,0.0,1.0,1.0,0
2,10.5,0.0,0.0,0.0,1.0,1.0,1
3,7.25,0.0,0.0,1.0,0.0,1.0,0
1,71.0,0.0,0.0,0.0,0.0,1.0,0
1,30.0,0.0,0.0,0.0,0.0,1.0,1
3,11.1333,1.0,0.0,0.0,0.0,1.0,1
3,9.5,0.0,0.0,1.0,0.0,1.0,1
3,24.15,0.0,0.0,1.0,0.0,1.0,0
3,16.1,0.0,0.0,0.0,1.0,1.0,0
1,50.4958,0.0,0.0,1.0,0.0,1.0,0
1,113.275,0.0,0.0,0.0,1.0,1.0,0
2,10.5,0.0,1.0,0.0,0.0,1.0,1
2,16.0,0.0,0.0,0.0,1.0,1.0,1
1,146.5208,0.0,0.0,0.0,1.0,1.0,1
1,61.9792,0.0,0.0,0.0,0.0,1.0,0
3,7.8542,0.0,0.0,1.0,0.0,1.0,0
2,21.0,0.0,0.0,1.0,0.0,1.0,0
2,13.5,0.0,0.0,0.0,1.0,1.0,0
1,153.4625,0.0,0.0,0.0,1.0,1.0,1
3,8.6625,0.0,0.0,1.0,0.0,1.0,0
3,7.7333,0.0,0.0,1.0,0.0,1.0,0
1,55.4417,0.0,0.0,1.0,0.0,1.0,1
2,26.25,0.0,0.0,0.0,1.0,1.0,0
2,26.0,0.0,0.0,0.0,1.0,1.0,0
3,14.5,0.0,1.0,0.0,0.0,1.0,0
1,30.0,0.0,1.0,0.0,0.0,1.0,1
1,66.6,0.0,0.0,1.0,0.0,1.0,0
2,26.0,0.0,0.0,0.0,1.0,1.0,0
3,7.225,0.0,0.0,0.0,1.0,1.0,0
1,227.525,0.0,1.0,0.0,0.0,1.0,1
1,86.5,0.0,1.0,0.0,0.0,1.0,1
1,26.55,0.0,0.0,1.0,0.0,1.0,1
2,26.0,0.0,0.0,1.0,0.0,1.0,1
1,52.0,0.0,0.0,0.0,1.0,1.0,1
3,8.05,0.0,0.0,1.0,0.0,1.0,0
1,71.2833,0.0,0.0,1.0,0.0,1.0,1
3,8.3,0.0,1.0,0.0,0.0,1.0,0
2,13.5,0.0,0.0,0.0,1.0,1.0,1
3,8.6542,0.0,0.0,1.0,0.0,1.0,0
3,20.2125,0.0,0.0,0.0,1.0,1.0,0
3,7.8792,0.0,1.0,0.0,0.0,1.0,1
3,27.9,1.0,0.0,0.0,0.0,1.0,0
1,49.5,0.0,0.0,1.0,0.0,1.0,1
3,8.05,0.0,1.0,0.0,0.0,1.0,0
1,26.55,0.0,0.0,0.0,0.0,1.0,0
3,7.75,0.0,0.0,0.0,0.0,1.0,0
3,14.4,0.0,0.0,1.0,0.0,1.0,0
1,49.5042,0.0,0.0,1.0,0.0,1.0,1
2,26.0,0.0,0.0,0.0,1.0,1.0,1
1,247.5208,0.0,0.0,0.0,1.0,1.0,1
3,7.8542,0.0,1.0,0.0,0.0,1.0,0
1,113.275,0.0,0.0,1.0,0.0,1.0,1
3,7.8958,0.0,0.0,1.0,0.0,1.0,0
1,90.0,0.0,0.0,1.0,0.0,1.0,1
2,26.0,1.0,0.0,0.0,0.0,1.0,1
3,7.75,0.0,1.0,0.0,0.0,1.0,1
2,10.5,0.0,0.0,1.0,0.0,1.0,0
1,53.1,0.0,0.0,1.0,0.0,1.0,1
2,65.0,0.0,0.0,1.0,0.0,1.0,1
1,52.5542,0.0,0.0,0.0,1.0,1.0,1
2,26.25,0.0,0.0,1.0,0.0,1.0,0
1,151.55,1.0,0.0,0.0,0.0,1.0,1
3,9.4833,0.0,0.0,1.0,0.0,1.0,0
1,26.2875,0.0,0.0,0.0,1.0,1.0,1
2,10.5,0.0,0.0,1.0,0.0,1.0,0
3,8.05,0.0,0.0,0.0,1.0,1.0,0
1,76.7292,0.0,0.0,0.0,1.0,1.0,1
3,7.65,0.0,0.0,1.0,0.0,1.0,0
2,27.0,0.0,0.0,1.0,0.0,1.0,1
2,26.0,0.0,0.0,1.0,0.0,1.0,0
3,7.8542,0.0,0.0,1.0,0.0,1.0,1
3,21.075,1.0,0.0,0.0,0.0,1.0,0
3,7.7958,0.0,0.0,1.0,0.0,1.0,1
2,30.0,0.0,0.0,1.0,0.0,1.0,1
3,6.4958,0.0,0.0,1.0,0.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,0
2,26.25,1.0,0.0,0.0,0.0,1.0,1
3,9.5875,0.0,0.0,0.0,0.0,1.0,1
3,7.8958,0.0,0.0,1.0,0.0,1.0,0
3,15.7417,0.0,0.0,1.0,0.0,1.0,1
3,8.05,0.0,0.0,1.0,0.0,1.0,1
2,73.5,0.0,1.0,0.0,0.0,1.0,0
2,37.0042,1.0,0.0,0.0,0.0,1.0,1
3,7.775,0.0,0.0,1.0,0.0,1.0,0
3,14.4542,0.0,1.0,0.0,0.0,1.0,1
3,11.2417,0.0,1.0,0.0,0.0,1.0,1
3,7.05,0.0,0.0,1.0,0.0,1.0,0
3,8.05,0.0,0.0,1.0,0.0,1.0,0
3,7.925,0.0,0.0,1.0,0.0,1.0,1
3,7.775,0.0,0.0,1.0,0.0,1.0,0
3,39.6875,0.0,1.0,0.0,0.0,1.0,0
3,8.05,0.0,0.0,1.0,0.0,1.0,0
